ID,LonX,LatY,Label,aiportname,city,country
MDT,-76.763397,40.193501,Harrisburg,Harrisburg International Airport,Harrisburg,United States
IAH,-95.3414,29.9844,Houston,George Bush Intercontinental Houston Airport,Houston,United States
ELP,-106.377998,31.807199,El Paso,El Paso International Airport,El Paso,United States
HRL,-97.654404,26.2285,Harlingen,Valley International Airport,Harlingen,United States
CAE,-81.119499,33.938801,Columbia,Columbia Metropolitan Airport,Columbia,United States
PNS,-87.1866,30.4734,Pensacola,Pensacola Regional Airport,Pensacola,United States
HOU,-95.2789,29.645399,Houston,William P Hobby Airport,Houston,United States
PIT,-80.232903,40.491501,Pittsburgh,Pittsburgh International Airport,Pittsburgh,United States
MIA,-80.290604,25.7932,Miami,Miami International Airport,Miami,United States
SEA,-122.308998,47.449001,Seattle,Seattle Tacoma International Airport,Seattle,United States
CHA,-85.203796,35.035301,Chattanooga,Lovell Field,Chattanooga,United States
JAN,-90.075897,32.311199,Jackson,Jackson-Medgar Wiley Evers International Airport,Jackson,United States
LGB,-118.152,33.817699,Long Beach,Long Beach /Daugherty Field/ Airport,Long Beach,United States
IND,-86.294403,39.7173,Indianapolis,Indianapolis International Airport,Indianapolis,United States
HPN,-73.707603,41.067001,White Plains,Westchester County Airport,White Plains,United States
BET,-161.837997,60.7798,Bethel,Bethel Airport,Bethel,United States
LIH,-159.339004,21.976,Lihue,Lihue Airport,Lihue,United States
RIC,-77.319702,37.505199,Richmond,Richmond International Airport,Richmond,United States
ORF,-76.201202,36.8946,Norfolk,Norfolk International Airport,Norfolk,United States
SAV,-81.202103,32.127602,Savannah,Savannah Hilton Head International Airport,Savannah,United States
OME,-165.445007,64.512199,Nome,Nome Airport,Nome,United States
SAT,-98.469803,29.533701,San Antonio,San Antonio International Airport,San Antonio,United States
ROC,-77.672401,43.1189,Rochester,Greater Rochester International Airport,Rochester,United States
RDU,-78.787498,35.877602,Raleigh-durham,Raleigh Durham International Airport,Raleigh-durham,United States
DAY,-84.219398,39.902401,Dayton,James M Cox Dayton International Airport,Dayton,United States
PHF,-76.492996,37.131901,Newport News,Newport News Williamsburg International Airport,Newport News,United States
TUS,-110.941002,32.1161,Tucson,Tucson International Airport,Tucson,United States
PVD,-71.420403,41.732601,Providence,Theodore Francis Green State Airport,Providence,United States
BUR,-118.359001,34.200699,Burbank,Bob Hope Airport,Burbank,United States
DTW,-83.353401,42.212399,Detroit,Detroit Metropolitan Wayne County Airport,Detroit,United States
TPA,-82.533203,27.9755,Tampa,Tampa International Airport,Tampa,United States
MAF,-102.202004,31.942499,Midland,Midland International Airport,Midland,United States
AGS,-81.9645,33.3699,Bush Field,Augusta Regional At Bush Field,Bush Field,United States
LIT,-92.224297,34.729401,Little Rock,Bill & Hillary Clinton National Airport/Adams Field,Little Rock,United States
DFW,-97.038002,32.896801,Dallas-Fort Worth,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States
AUS,-97.669899,30.1945,Austin,Austin Bergstrom International Airport,Austin,United States
TYS,-83.994003,35.811001,Knoxville,McGhee Tyson Airport,Knoxville,United States
STL,-90.370003,38.748697,St. Louis,St Louis Lambert International Airport,St. Louis,United States
ATL,-84.428101,33.6367,Atlanta,Hartsfield Jackson Atlanta International Airport,Atlanta,United States
GRR,-85.522797,42.880798,Grand Rapids,Gerald R. Ford International Airport,Grand Rapids,United States
FAT,-119.718002,36.776199,Fresno,Fresno Yosemite International Airport,Fresno,United States
BNA,-86.6782,36.1245,Nashville,Nashville International Airport,Nashville,United States
OTZ,-162.598999,66.884697,Kotzebue,Ralph Wien Memorial Airport,Kotzebue,United States
LGA,-73.872597,40.777199,New York,La Guardia Airport,New York,United States
TLH,-84.350304,30.3965,Tallahassee,Tallahassee Regional Airport,Tallahassee,United States
BTV,-73.153297,44.471901,Burlington,Burlington International Airport,Burlington,United States
JAX,-81.687897,30.494101,Jacksonville,Jacksonville International Airport,Jacksonville,United States
IAD,-77.455803,38.9445,Washington,Washington Dulles International Airport,Washington,United States
MKE,-87.896599,42.947201,Milwaukee,General Mitchell International Airport,Milwaukee,United States
PDX,-122.598,45.588699,Portland,Portland International Airport,Portland,United States
PBI,-80.095596,26.683201,West Palm Beach,Palm Beach International Airport,West Palm Beach,United States
HNL,-157.924228,21.32062,Honolulu,Daniel K Inouye International Airport,Honolulu,United States
DSM,-93.663101,41.534,Des Moines,Des Moines International Airport,Des Moines,United States
SAN,-117.190002,32.733601,San Diego,San Diego International Airport,San Diego,United States
ONT,-117.600998,34.056,Ontario,Ontario International Airport,Ontario,United States
FMN,-108.230003,36.741199,Farmington,Four Corners Regional Airport,Farmington,United States
CRP,-97.501198,27.770399,Corpus Christi,Corpus Christi International Airport,Corpus Christi,United States
SYR,-76.1063,43.111198,Syracuse,Syracuse Hancock International Airport,Syracuse,United States
MDW,-87.752403,41.785999,Chicago,Chicago Midway International Airport,Chicago,United States
SJC,-121.929001,37.362598,San Jose,Norman Y. Mineta San Jose International Airport,San Jose,United States
DEN,-104.672996,39.861698,Denver,Denver International Airport,Denver,United States
PHL,-75.241096,39.871899,Philadelphia,Philadelphia International Airport,Philadelphia,United States
CMH,-82.891899,39.998001,Columbus,John Glenn Columbus International Airport,Columbus,United States
GAL,-156.936996,64.736198,Galena,Edward G. Pitka Sr Airport,Galena,United States
ANC,-149.996002,61.1744,Anchorage,Ted Stevens Anchorage International Airport,Anchorage,United States
MOB,-88.242798,30.6912,Mobile,Mobile Regional Airport,Mobile,United States
RSW,-81.755203,26.5362,Fort Myers,Southwest Florida International Airport,Fort Myers,United States
AKN,-156.649002,58.6768,King Salmon,King Salmon Airport,King Salmon,United States
JFK,-73.7789,40.639801,New York,John F Kennedy International Airport,New York,United States
CHS,-80.040497,32.898602,Charleston,Charleston Air Force Base-International Airport,Charleston,United States
RNO,-119.767998,39.4991,Reno,Reno Tahoe International Airport,Reno,United States
KTN,-131.714004,55.355598,Ketchikan,Ketchikan International Airport,Ketchikan,United States
BHM,-86.753502,33.562901,Birmingham,Birmingham-Shuttlesworth International Airport,Birmingham,United States
SMF,-121.591003,38.6954,Sacramento,Sacramento International Airport,Sacramento,United States
BUF,-78.732201,42.940498,Buffalo,Buffalo Niagara International Airport,Buffalo,United States
BDL,-72.683197,41.9389,Windsor Locks,Bradley International Airport,Windsor Locks,United States
LBB,-101.822998,33.663601,Lubbock,Lubbock Preston Smith International Airport,Lubbock,United States
ORD,-87.9048,41.9786,Chicago,Chicago O'Hare International Airport,Chicago,United States
FAI,-147.856003,64.815102,Fairbanks,Fairbanks International Airport,Fairbanks,United States
PSP,-116.507004,33.8297,Palm Springs,Palm Springs International Airport,Palm Springs,United States
AMA,-101.706001,35.219398,Amarillo,Rick Husband Amarillo International Airport,Amarillo,United States
ILM,-77.902603,34.270599,Wilmington,Wilmington International Airport,Wilmington,United States
BTR,-91.149597,30.533199,Baton Rouge,Baton Rouge Metropolitan Airport,Baton Rouge,United States
BWI,-76.668297,39.1754,Baltimore,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States
TUL,-95.8881,36.198399,Tulsa,Tulsa International Airport,Tulsa,United States
ISP,-73.100197,40.7952,Islip,Long Island Mac Arthur Airport,Islip,United States
MSP,-93.221802,44.882,Minneapolis,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States
MSY,-90.258003,29.993401,New Orleans,Louis Armstrong New Orleans International Airport,New Orleans,United States
PWM,-70.309303,43.646198,Portland,Portland International Jetport Airport,Portland,United States
OKC,-97.6007,35.393101,Oklahoma City,Will Rogers World Airport,Oklahoma City,United States
ALB,-73.801697,42.748299,Albany,Albany International Airport,Albany,United States
SNA,-117.867996,33.675701,Santa Ana,John Wayne Airport-Orange County Airport,Santa Ana,United States
VPS,-86.525398,30.4832,Valparaiso,Destin-Ft Walton Beach Airport,Valparaiso,United States
EYW,-81.759598,24.556101,Key West,Key West International Airport,Key West,United States
CLT,-80.9431,35.214001,Charlotte,Charlotte Douglas International Airport,Charlotte,United States
LAS,-115.152,36.080101,Las Vegas,McCarran International Airport,Las Vegas,United States
MCO,-81.308998,28.429399,Orlando,Orlando International Airport,Orlando,United States
GSO,-79.937302,36.097801,Greensboro,Piedmont Triad International Airport,Greensboro,United States
FSD,-96.741898,43.582001,Sioux Falls,Joe Foss Field Airport,Sioux Falls,United States
MHT,-71.435699,42.932598,Manchester NH,Manchester-Boston Regional Airport,Manchester NH,United States
SDF,-85.736,38.1744,Louisville,Louisville International Standiford Field,Louisville,United States
CHO,-78.452904,38.138599,Charlottesville VA,Charlottesville Albemarle Airport,Charlottesville VA,United States
ROA,-79.975403,37.3255,Roanoke VA,Roanoke–Blacksburg Regional Airport,Roanoke VA,United States
LEX,-84.605904,38.036499,Lexington KY,Blue Grass Airport,Lexington KY,United States
EVV,-87.532402,38.036999,Evansville,Evansville Regional Airport,Evansville,United States
ABQ,-106.609001,35.040199,Albuquerque,Albuquerque International Sunport,Albuquerque,United States
GSP,-82.218903,34.895699,Greenville,Greenville Spartanburg International Airport,Greenville,United States
BMI,-88.915901,40.4771,Bloomington,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,United States
GPT,-89.070099,30.407301,Gulfport,Gulfport Biloxi International Airport,Gulfport,United States
FWA,-85.195099,40.9785,Fort Wayne,Fort Wayne International Airport,Fort Wayne,United States
CID,-91.7108,41.884701,Cedar Rapids,The Eastern Iowa Airport,Cedar Rapids,United States
PIA,-89.693298,40.6642,Peoria,General Wayne A. Downing Peoria International Airport,Peoria,United States
SRQ,-82.554398,27.395399,Sarasota,Sarasota Bradenton International Airport,Sarasota,United States
MLI,-90.5075,41.448502,Moline,Quad City International Airport,Moline,United States
FNT,-83.743599,42.965401,Flint,Bishop International Airport,Flint,United States
EUG,-123.211998,44.124599,Eugene,Mahlon Sweet Field,Eugene,United States
CAK,-81.4422,40.9161,Akron,Akron Canton Regional Airport,Akron,United States
HSV,-86.775101,34.637199,Huntsville,Huntsville International Carl T Jones Field,Huntsville,United States
MGM,-86.393997,32.300598,MONTGOMERY,Montgomery Regional (Dannelly Field) Airport,MONTGOMERY,United States
SFB,-81.237503,28.777599,Sanford,Orlando Sanford International Airport,Sanford,United States
CRW,-81.593201,38.3731,Charleston,Yeager Airport,Charleston,United States
AVP,-75.723396,41.338501,Scranton,Wilkes Barre Scranton International Airport,Scranton,United States
FAR,-96.815804,46.9207,Fargo,Hector International Airport,Fargo,United States
SPI,-89.677902,39.844101,Springfield,Abraham Lincoln Capital Airport,Springfield,United States
SGF,-93.388603,37.245701,Springfield,Springfield Branson National Airport,Springfield,United States
ABE,-75.440804,40.6521,Allentown,Lehigh Valley International Airport,Allentown,United States
XNA,-94.306801,36.281898,Bentonville,Northwest Arkansas Regional Airport,Bentonville,United States
OAJ,-77.612099,34.829201,Jacksonville NC,Albert J Ellis Airport,Jacksonville NC,United States
FAY,-78.880302,34.991199,Fayetteville,Fayetteville Regional Grannis Field,Fayetteville,United States
PIR,-100.286003,44.382702,Pierre,Pierre Regional Airport,Pierre,United States
MCG,-155.606003,62.9529,Mcgrath,McGrath Airport,Mcgrath,United States
ANI,-159.542999,61.5816,Aniak,Aniak Airport,Aniak,United States
AKP,-151.742996,68.133598,Anaktuvuk Pass,Anaktuvuk Pass Airport,Anaktuvuk Pass,United States
KVL,-164.563004,67.736198,Kivalina,Kivalina Airport,Kivalina,United States
PHO,-166.799,68.3488,Point Hope,Point Hope Airport,Point Hope,United States
UNK,-160.798996,63.888401,Unalakleet,Unalakleet Airport,Unalakleet,United States
KUK,-162.524002,60.874401,Kasigluk,Kasigluk Airport,Kasigluk,United States
KWK,-163.169005,59.876499,Kwigillingok,Kwigillingok Airport,Kwigillingok,United States
MLL,-162.026001,61.8643,Marshall,Marshall Don Hunter Sr Airport,Marshall,United States
RSH,-161.319458,61.778885,Russian Mission,Russian Mission Airport,Russian Mission,United States
HUS,-154.263001,66.0411,Hughes,Hughes Airport,Hughes,United States
HSL,-156.350998,65.697899,Huslia,Huslia Airport,Huslia,United States
SHG,-157.162003,66.8881,Shungnak,Shungnak Airport,Shungnak,United States
CGA,-133.147778,55.478889,Craig,Craig Seaplane Base,Craig,United States
KTB,-132.536667,55.688056,Thorne Bay,Thorne Bay Seaplane Base,Thorne Bay,United States
ABL,-157.856989,67.1063,Ambler,Ambler Airport,Ambler,United States
OBU,-156.897003,66.9123,Kobuk,Kobuk Airport,Kobuk,United States
WAA,-168.095,65.622593,Wales,Wales Airport,Wales,United States
KKA,-161.154007,64.939499,Koyuk,Koyuk Alfred Adams Airport,Koyuk,United States
SKK,-161.223999,64.371101,Shaktoolik,Shaktoolik Airport,Shaktoolik,United States
WBB,-162.278056,63.515833,Stebbins,Stebbins Airport,Stebbins,United States
KYU,-157.727005,64.876099,Koyukuk,Koyukuk Airport,Koyukuk,United States
SCM,-165.570999,61.845299,Scammon Bay,Scammon Bay Airport,Scammon Bay,United States
NUP,-162.439167,60.905833,Nunapitchuk,Nunapitchuk Airport,Nunapitchuk,United States
CKD,-158.135,61.867778,Crooked Creek,Crooked Creek Airport,Crooked Creek,United States
SLQ,-157.166,61.7005,Sleetmute,Sleetmute Airport,Sleetmute,United States
NME,-164.701004,60.471001,Nightmute,Nightmute Airport,Nightmute,United States
OOK,-165.087006,60.541401,Toksook Bay,Toksook Bay Airport,Toksook Bay,United States
TNK,-165.271667,60.575556,Tununak,Tununak Airport,Tununak,United States
